Pro_1	Pro_2	Pro_3	Sen_1	Sen_2	Sen_3
ACAP1	0.25	0.28	0.13	0.42	0.13	0.29
ACAP2	47.2	51.9	48.23	43.09	42.47	38.05
ACAP3	34.21	36.83	31.81	34.47	36.58	33.42
ACAT1	52.23	43.83	52.36	40.95	37.39	37.51
ACAT2	61.54	39.83	53.23	49.85	95.01	61.63
ACBD3	76.69	77.39	66.84	102.74	106.52	99.48
ACBD4	4.78	4.96	7.07	1.5	2.51	2.1
ACBD5	24.35	22.61	21.62	23.86	15.89	21.06
ACBD6	67.03	74.59	86.13	50	52.44	57.45
ACBD7	1.18	0.38	0.47	0.21	0.16	0.46
ACCS	1.76	1.7	1.71	1.46	1.43	1.75
ACCSL	0	0	0	0	0	0
ACD	11.17	10.88	9.39	11.73	14.02	11.87
ACE	1.71	1.73	2.29	2.46	6.29	2.39
ACE2	0.03	0	0.05	0.03	0	0
ACER1	0.17	0	0	0.11	0	0
ACER2	2.38	2.89	2.52	3.39	3.43	1.94
ACER3	5.77	4.49	4.12	6.66	6.59	6.38
ACHE	0.09	0.05	0	0.28	0.19	0.15
ACIN1	88.39	94.75	78.86	78.85	80.86	76.61
ACKR1	0	0	0	0	0	0
ACKR2	0.12	0.03	0	0	0.11	0
ACKR3	0.13	0.1	0.23	0.11	0.21	0.15
ACKR4	1.09	1.15	1.03	0.1	0.28	0.22
ACLY	197.89	172.6	182.85	335.08	367.76	332.71
ACMSD	0	0	0	0	0	0
ACO1	133	137.52	160.35	168.62	150.59	156.46
ACO2	66.72	64.64	66.06	81.88	94.17	82.58
ACOT1	16.14	11.27	19.23	6.68	10.17	10.72
ACOT11	0.94	0.7	0.6	2.81	1.76	2.4
ACOT12	0.09	0.2	0.08	0	0	0
ACOT13	18.31	17.85	18.41	11.02	10.44	11.69
ACOT2	45.47	43.56	40.82	27.36	23.4	23.89
ACOT4	0.91	0.68	0.9	0.36	0.55	0.39
ACOT6	0	0	0	0	0	0.11
ACOT7	56.58	44.07	58.65	119.05	116.5	119.97
ACOT8	39.72	37.95	41.97	49.41	49.31	50.19
ACOT9	61.95	55.19	53.03	77.35	80.12	81.98
ACOX1	11.36	11.69	11.24	22.3	20.27	19.9
ACOX2	0.55	0.69	1.33	0.2	0.1	0.18
ACOX3	24.02	21.1	22.03	15.13	14.8	15.75
ACOXL	0.08	0.13	0.07	0	0	0
ACP1	133.46	124.61	119.16	141.93	124.07	140.71
ACP2	40.6	43.14	47.29	35.34	24.98	31.4
ACP5	0.19	0.28	0	1.62	1.15	0.36
ACP6	9.37	9.2	9.53	15.11	12.89	13.05
ACPP	1.6	1.8	1.4	9.65	15.55	9.04
ACPT	0	0.08	0	0	0	0.08
ACR	0.14	0.15	0.12	0	0.08	0
ACRBP	0	0	0.09	0	0	0
ACRC	0.63	1.06	0.8	0.58	0.52	0.26
ACRV1	0.1	0.09	0	0.13	0	0
ACSBG1	0.34	0.27	0.48	0.16	0.15	0.18
ACSBG2	0.04	0.08	0.06	0	0	0
ACSF2	10.73	13.12	15.04	8.36	12.22	9.87
ACSF3	9.07	9.07	8.25	6.68	7.91	7.44
ACSL1	22.11	21.89	19.36	23.49	27.25	25.67
ACSL3	90.95	86.33	93.41	78.51	89.34	79.31
ACSL4	88.12	79.3	79.28	106.6	89.35	101.27
ACSL5	3.66	2.91	3.18	5.7	4.13	5.24
ACSL6	0	0.02	0	0	0	0
ACSM1	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0
ACSM3	0.3	0.36	0.17	0	0	0.13
ACSM4	0.05	0.12	0	0	0.38	0.06
ACSM5	0	0	0	0	0	0
ACSM6	0.05	0	0	0	0	0
ACSS1	3.94	3.16	2.2	0.79	0.95	0.52
ACSS2	27.68	24.49	28.22	20.1	30.68	21.51
ACSS3	6.44	8.27	8.64	2.11	4.7	2.79
ACTA1	2.49	1.42	2.75	1.21	24.62	10.38
ACTA2	1795.42	1408.83	1455.38	288.8	261.98	274.75
ACTA2-AS1	13.18	7.39	10.75	1.74	1.62	1.81
ACTB	7088.35	5466.93	5963.55	5366.3	6057.07	5499.38
ACTBL2	0.13	0.07	0.06	0.21	0.24	0.19
ACTC1	0.2	0.13	0.34	0.09	2.26	1.13
ACTG1	3356.28	2758.94	3288.36	3909.37	4986.44	4306.34
ACTG1P17	0.11	0	0	0.07	0	0
ACTG1P20	15.32	13.4	14.18	19.33	23.35	21.44
ACTG1P4	0.15	0.1	0.16	0.2	0.11	0.11
ACTG2	1699.51	1224.93	1317.04	311.77	262.77	257.91
ACTL10	0.99	1.34	0.64	0.81	0.6	0.73
ACTL6A	44.35	39.17	36.44	40.04	37.71	42.02
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	0.08	0
ACTL8	0.1	0	0	0.06	0.06	0
ACTL9	0	0	0	0	0	0
ACTN1	780.02	671.93	727.27	568.88	636.52	548.53
ACTN1-AS1	0	0.18	0	0.22	0.2	0
ACTN2	0.07	0.04	0.16	0.05	1.55	0.84
ACTN3	0.15	0.03	0	0	0.22	0.14
ACTN4	481.1	406.69	422.13	254.9	294.89	257.33
ACTR10	77.42	73.3	76.39	60.03	45.24	52.5
ACTR1A	138.38	133.86	143.95	202.41	193.24	198.12
ACTR1B	58.85	52.58	54.1	42.16	52.46	45.79
ACTR2	426.81	369.29	394.56	520.02	514.79	506.49
ACTR3	221.12	189.18	197.8	337.62	292.63	322.39
ACTR3B	2.36	2.33	2.91	4.78	5.33	4.17
ACTR3BP2	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0
ACTR3C	0.22	0.35	0.32	0.46	0	0.53
ACTR5	3.45	3.74	3.89	4.81	4.18	4.96
ACTR6	20.12	21.8	22.48	26.25	28.13	24.81
ACTR8	18.9	17.19	18.2	18.51	16.89	17.7
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	2.88	2.41	2.67	5.41	4.21	5.18
ACVR1	73.24	74.87	69.86	43.81	42.18	41.03
ACVR1B	15.47	17.33	15.97	17.65	19.11	18.26
ACVR1C	0.1	0.01	0.06	0.03	0.09	0.04
ACVR2A	5.88	6.09	5.3	3.15	3.27	2.98
ACVR2B	2.12	1.96	1.35	1.76	1.56	1.28
ACVR2B-AS1	0.33	0.51	0.13	0.05	0	0.04
ACVRL1	4.79	5.63	5.66	15.89	24.91	18.83
ACY1	11.26	10.94	10.55	18.79	22.02	21.74
ACY3	0	0	0	0	0	0
ACYP1	8.19	5.62	7.11	14.61	14	14.4
ACYP2	14.53	15.15	13.85	12.05	11.18	12.52
ADA	6.42	6.43	6.2	9.88	9.39	8.95
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	3.47	4.67	4.54	3.04	1.8	2.71
ADAM10	191.21	195.99	208.24	95.07	99.63	90.55
ADAM11	0.12	0.2	0.14	0.08	0.1	0.05
ADAM12	5.28	4.66	4	26.99	26.73	20.64
ADAM15	41.09	46.3	49.3	48.55	51.5	52.99
ADAM17	50.54	51.32	47.67	38.89	31.21	29.42
ADAM18	0	0	0	0	0	0
ADAM19	75.59	64.18	49.81	314.8	365.25	261.82
ADAM1A	1.34	1.61	1.18	0.82	0.85	0.41
ADAM2	0	0	0	0	0	0
ADAM20	0	0	0	0	0.04	0
ADAM20P1	0.03	0	0.05	0.08	0	0.07
ADAM21	0	0.15	0	0.09	0.1	0.3
ADAM21P1	0.13	0	0.08	0	0.14	0.12
ADAM22	0.1	0.11	0.12	0.04	0.04	0.08
ADAM23	2.64	2.42	2.51	2.25	1.5	2.35
ADAM28	0.05	0.14	0.02	0.12	0.06	0.1
ADAM29	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0
ADAM32	0.23	0.11	0.18	0.04	0.08	0.19
ADAM33	0.35	0.47	0.27	0	0.09	0
ADAM3A	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
ADAM8	0.52	0.99	0.48	1.23	1.09	0.83
ADAM9	865.57	810.34	802.1	329.23	310.08	296.93
ADAMDEC1	0.04	0	0	0	0	0
ADAMTS1	363.7	492.21	543.69	58.5	50.67	43.12
ADAMTS10	4.75	7.69	6.72	1.46	3.8	1.48
ADAMTS12	61.04	69.04	61.16	76.45	72.32	48.48
ADAMTS13	1.82	2.65	2.29	1.65	2.54	1.65
ADAMTS14	0.53	0.71	0.48	1.42	1.9	1.36
ADAMTS15	6.51	6.78	5.84	0.02	0.27	0.09
ADAMTS16	0	0.02	0	0.14	0.2	0.23
ADAMTS17	0.04	0.06	0	0	0.03	0.07
ADAMTS18	0	0	0	0	0	0
ADAMTS19	0.04	0.06	0.03	0	0	0.04
ADAMTS19-AS1	0	0	0	0	0	0
ADAMTS2	116.06	117.12	103.97	48.31	55.55	46.95
ADAMTS20	0	0	0	0	0.04	0
ADAMTS3	0.03	0.02	0.16	0.22	0.26	0.16
ADAMTS4	0.02	0	0	0	0.08	0
ADAMTS5	11.98	17.35	15.36	1.45	1.61	1.28
ADAMTS6	1.57	1.06	1.8	1.83	1.19	1.56
ADAMTS7	16.54	27.34	18.93	22.8	52.75	26.74
ADAMTS7P1	0.13	0.1	0.1	0.1	0.32	0.17
ADAMTS8	45.97	81.48	67.31	3.44	4.59	4.15
ADAMTS9	0.24	0.33	0.28	0.33	0.24	0.14
ADAMTS9-AS1	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0.07	0.11	0.1	0.05
ADAMTSL1	3.01	1.66	2.42	1.07	0.41	0.62
ADAMTSL2	0.05	0.11	0.04	0.03	0	0.1
ADAMTSL3	0.01	0	0	0.02	0	0
ADAMTSL4	8.83	10.08	10.69	7.02	8.24	6.42
ADAMTSL4-AS1	0.37	0.1	0.16	0.12	0.11	0.11
ADAMTSL5	15	13.48	10.31	12.51	16.57	12.56
ADAP1	4.32	3.95	4.19	5.03	5.31	4.74
ADAP2	3.63	2.38	2.74	4.66	5.44	4.38
ADAR	96.79	105.29	96.39	110.49	109.44	100.87
ADARB1	9.18	8.23	10.19	6.82	12.58	8.45
ADARB2	0	0	0	0	0.01	0
ADARB2-AS1	0	0	0	0	0	0
ADAT1	12.54	13.27	12.7	17.25	16.86	14.81
ADAT2	1.36	1.15	1.27	1.36	1.15	1.04
ADAT3	2.96	3.67	3.41	7.01	7.51	7.75
ADCK1	3.23	3.8	2.92	2.2	1.54	1.93
ADCK2	16	13.93	15.04	13.37	12.94	13.62
ADCK3	3.69	4.41	4.27	4.34	5.03	4.76
ADCK4	15.11	17.58	16.36	7.54	8.95	8.52
ADCK5	6.55	8.23	6.92	5.69	5.98	6.71
ADCY1	0.4	0.19	0.11	0.07	0.26	0.31
ADCY10	0.05	0.1	0.1	0.08	0.02	0.02
ADCY10P1	0.3	0.17	0.17	0.36	0.57	0.25
ADCY2	0	0	0	0	0	0.02
ADCY3	24.83	28.99	26	11.07	15.58	11.5
ADCY4	0.03	0.03	0	0.03	0.32	0.06
ADCY5	0.06	0.14	0.19	0.07	0.07	0.06
ADCY6	28.37	37.15	34.88	28.02	33.69	27.56
ADCY7	31.95	28.96	30.04	30.63	32.94	31.73
ADCY8	0	0	0	0.06	0	0.08
ADCY9	34.24	34.72	34.09	12.73	19.75	13.28
ADCYAP1	0	0	0	0	0	0
ADCYAP1R1	0	0	0	0.04	0.02	0.03
ADD1	175.82	177.75	190.15	149.38	147.18	145.25
ADD2	0	0	0	0.03	0.03	0.03
ADD3	100.29	110.88	101.35	47.8	60.37	43.83
ADD3-AS1	0.61	1.16	0.27	0.69	0.37	0.18
ADGB	0	0	0	0	0	0
ADGRA1	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0
ADGRA2	195.01	224.22	176.27	22.33	26.24	21.29
ADGRA3	19.29	22.33	21.68	39.12	50.03	38.45
ADGRB1	0	0.02	0	0.06	0.06	0.07
ADGRB2	12.87	14.9	15.38	13.49	21.26	12.55
ADGRB3	0	0	0	0	0.02	0
ADGRD1	0.02	0.02	0.03	0	0	0.02
ADGRE1	0	0	0	0	0	0
ADGRE2	0.02	0.02	0	3.34	4.57	3.07
ADGRE3	0	0	0	0	0	0
ADGRE4P	0	0	0	0	0.04	0
ADGRE5	18.05	17.23	21.47	96.68	82.73	89.56
ADGRF1	0	0	0	0	0.06	0
ADGRF2	0	0	0	0	0	0
ADGRF3	0.26	0.26	0.05	0.03	0.06	0.1
ADGRF4	0	0	0	0.62	0.69	0.83
ADGRF5	0	0	0	0.02	0.19	0.22
ADGRG1	0.83	0.29	0.71	0.59	0.97	0.65
ADGRG2	0.08	0.04	0.07	0.05	0.02	0.02
ADGRG3	0	0	0	0	0	0
ADGRG4	0	0	0	0.02	0	0.02
ADGRG5	0	0	0	0	0	0
ADGRG6	11.56	9.46	10.02	1.3	0.64	0.99
ADGRG7	0	0	0	0	0.03	0
ADGRL1	2.65	3.57	2.29	0.77	1.1	0.73
ADGRL2	17.07	25.16	17.82	4.39	5.12	3.5
ADGRL3	0	0.02	0.03	0	0	0.02
ADGRL3-AS1	0	0	0	0	0	0
ADGRL4	29.63	27.57	26.82	80.23	79.55	71.89
ADGRV1	0	0	0.01	0	0	0
ADH1A	0	0	0.14	0	0	0
ADH1B	2.22	12.92	10.55	0	0	0.04
ADH1C	0.06	0.26	0.19	0	0.06	0
ADH4	0	0	0.08	0.24	0.06	0
ADH5	182.91	189.95	192.22	136.06	125.2	129.39
ADH6	0.13	0.29	0.12	0	0	0
ADH7	0	0	0	0	0	0
ADHFE1	2.71	1.54	2.31	0.25	0.7	0.22
ADI1	129.32	121.68	134.82	77.62	55.64	60.43
ADIG	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0
ADIPOR1	107.3	99.93	99.08	134.79	145.86	136.44
ADIPOR2	48.23	45.69	45.95	68.93	75.17	69.13
ADIRF	1.16	1.2	2.57	1.69	1.95	1.64
ADK	31.8	25.96	28.38	64.01	61.44	64.55
ADM	178.7	160.54	190.01	166.04	89.54	152.98
ADM2	49.55	52.96	43.75	3.97	4.87	4.74
ADM5	0.35	0.19	0.15	0.06	0.26	0.2
ADNP	36.34	38.18	36.78	27.96	29.83	26.43
ADNP-AS1	1.67	1.59	1.65	0.83	1.13	0.96
ADNP2	10.35	11.26	10.5	9.67	9.42	9.3
ADO	30.03	31.73	27.37	30.32	27.2	28.99
ADORA1	0.07	0.07	0	0.13	0.04	0.04
ADORA2A	0.36	0.14	0	3.34	3.23	3.81
ADORA2A-AS1	0.11	0.04	0.06	0.09	0.09	0.04
ADORA2B	17.55	16.07	17.04	15.28	9.1	13.51
ADORA3	0	0	0	0	0	0
ADPGK	71.54	73.98	71.99	86.16	66.54	72.51
ADPGK-AS1	0.16	0.04	0.21	0.2	0.14	0
ADPRH	0.08	0.08	0.04	0.31	0.43	0.83
ADPRHL1	1.22	1.13	0.56	0.69	0.44	0.34
ADPRHL2	42.74	40.77	40.2	60.31	46.64	59.64
ADPRM	10.21	11.25	8.96	12.25	10.45	11.86
ADRA1A	0	0	0	0	0	0
ADRA1B	8.71	8.91	7.44	0.21	0.1	0.33
ADRA1D	0.41	0.22	0.18	0	0.12	0.12
ADRA2A	0.02	0	0	0	0.03	0
ADRA2B	0	0	0	0	0	0
ADRA2C	0.14	0.05	0	0.18	0.11	0.05
ADRB1	0	0	0.11	0	0.04	0
ADRB2	2.92	2.36	2.46	1.79	2.94	2.18
ADRB3	0	0	0	0	0	0
ADRBK1	36.04	36.37	34.87	34.46	40.78	35.21
ADRBK2	4.78	4.07	5.11	8.16	8.98	8.06
ADRM1	151.13	147.75	144.19	268.83	223.51	258.47
ADSL	81.42	73.41	76.1	88.06	78.19	87.25
ADSS	69.23	58.51	64.29	66.33	68.74	63.77
ADSSL1	3.41	6.18	4.73	1.15	1.91	1.82
ADTRP	1.43	1.63	1.35	3.67	2.23	2.71
AEBP1	8.98	8.02	7.3	3.19	4.19	2.41
AEBP2	14.77	14.22	13.67	11.56	10.18	10.57
AEN	55.45	58.37	50.42	58.86	46.1	46.57
AES	464.18	484.31	482.99	453.46	511.35	532.45
AFAP1	48.38	44.59	45.38	28.83	34.16	25.86
AFAP1-AS1	0.21	0.24	0.27	0.18	0.17	0.15
AFAP1L1	3.68	2.52	3.88	11.32	12.44	12.88
AFAP1L2	0.45	0.54	1.08	4.31	10.04	7.59
AFF1	16.93	16.14	16.09	22.29	24.7	20.66
AFF2	0.01	0	0.01	0	0	0
AFF3	18.86	18.42	18.19	5.26	5.76	4.47
AFF4	68.9	68.7	69.73	90.98	86.22	80.62
AFG3L1P	7.46	6.23	4.24	3.86	3.07	3.19
AFG3L2	46.29	42.09	43.19	67.61	63.67	60.96
AFM	0.05	0	0	0	0	0.05
AFMID	14.38	15.45	16.64	30.84	32.29	31.71
AFP	0.63	0.39	0.48	0.58	0.33	0.31
AFTPH	16.98	16.7	15.47	17.99	17.01	18.49
AGA	23.9	23.22	21.82	12.94	10.81	10.86
AGAP1	10.91	15.17	13.42	17.4	19.08	18.75
AGAP1-IT1	1.05	1.15	0.79	3.46	5.08	4.32
AGAP11	0.7	0.51	0.13	0.19	0.18	0.18
AGAP2	0.12	0.2	0.06	0.13	0.35	0.28
AGAP2-AS1	36.13	30.51	32.61	22.91	21.82	25.39
AGAP3	70.37	73.67	61.91	90.77	104.59	90.68
AGAP4	2.56	2.99	1.9	2.08	2.47	1.81
AGAP5	2.51	2.3	3.01	0.55	0.91	1.06
AGAP6	5.53	5.79	5.19	3.77	5.43	3.14
AGAP7P	0.61	0.75	0.32	0	0.2	0.39
AGAP9	3.9	4.97	3.48	2.61	2.17	1.91
AGBL1	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0
AGBL2	0.18	0.41	0.44	0.06	0.15	0.06
AGBL3	0.41	0.17	0.18	0.1	0.22	0.09
AGBL4	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0
AGBL5	12.64	12.9	18.55	10.28	13.27	12.67
AGBL5-AS1	0	0.29	0	0	0	0
AGER	2.14	2.89	2.34	1.27	1.14	1.37
AGFG1	21.89	20.38	21.51	17.53	19.37	17.55
AGFG2	5.29	4.41	4.51	4.55	5.83	4.02
AGGF1	20.32	19.6	21.62	17.47	17.64	16.92
AGK	16.25	15.56	14.87	15.03	15.98	14.8
AGL	15.1	14.23	13.6	6.9	7.42	6.42
AGMAT	0.8	0.56	0.56	1.36	1.35	1.06
AGMO	0.29	0.16	0.19	0.19	0.18	0.13
AGO1	14.35	15.02	13.75	11.01	13.01	9.8
AGO2	19.63	18.85	16.29	44.95	53.92	39.07
AGO3	7.98	7.74	6.77	8.96	9.29	8.73
AGO4	10.44	8.73	8.05	6.17	6.77	5.92
AGPAT1	115.54	113.26	118.39	163.58	172	168.81
AGPAT2	63.28	72.5	74.94	126.36	123.26	128.25
AGPAT3	34.93	36.85	39.79	45.6	47.28	43.07
AGPAT4	4.82	4.71	4.77	3.27	4.58	3.63
AGPAT4-IT1	0.35	0.16	0.44	0.19	0.36	0.11
AGPAT5	7.07	6.5	5.9	18.29	10.24	16.49
AGPAT6	39.63	39.48	37.34	71.39	60.25	63.9
AGPAT9	4.34	2.27	1.89	5.4	5.66	5.14
AGPS	23.07	22.88	21.62	21	20.13	19.58
AGR2	0	0	0	0	0	0
AGR3	0	0	0	0	0	0
AGRN	164.35	196.7	204.83	252.23	274.55	211.02
AGRP	0	0.14	0	0	0	0
AGT	0.49	0.35	0.56	0.05	0.04	0.08
AGTPBP1	5.28	4.76	4.82	4.4	3.59	4.55
AGTR1	9.73	6.02	5.76	6.01	5.53	5.59
AGTR2	0	0	0	0	0	0
AGTRAP	58.94	62.23	58.37	80.02	69.28	73.9
AGXT	0	0	0	0	0	0
