A_1	A_2	B_1	B_2
chr1:1284915-1285273	3596.473508358	2832.26117348671	2176.50684547424	2469.7850151062
chr1:1293834-1294797	9815.04683923721	5977.66099870205	8741.77852058411	9449.60145020485
chr1:1295842-1296412	7320.49451375008	7036.91725087166	8225.04613828659	5826.46608781815
chr1:1310290-1311110	14136.743329525	10498.3965785503	13161.6901955605	10105.8276815414
chr1:1334502-1335759	14467.4711765051	8985.60333871841	11480.0012731552	10155.5367801189
chr1:1342379-1343144	4876.37440848351	3804.76496493816	5195.00615024567	3666.89215946198
chr1:1365167-1366212	6753.96364784241	5701.27536010742	6131.58803749084	6689.49100351334
chr1:1370801-1371301	3560.87967479229	2610.26658886671	3114.24293518066	2288.8260204792
chr1:1376144-1376704	2918.70507884026	1670.10071647167	2196.11265087128	1427.78144788742
chr1:1406558-1407293	4068.0935395956	2893.27172970772	4209.98747348785	1889.12599086761
chr1:1440001-1440502	964.00403380394	588.063299655914	634.381484985352	497.137987613678
chr1:1446729-1447761	9853.60291433334	6815.64160215855	8041.65176582336	5567.95147657394
chr1:1475806-1476465	5635.71771264076	3215.97045063972	3869.72572803497	3241.34313344955
chr1:1490023-1490791	6678.32016742229	6082.7787091732	8536.4685754776	6544.32805848122
chr1:1509746-1510835	10411.2394082546	8236.56438052654	10876.7701244354	8491.12383842468
chr1:1526956-1527304	1540.92312788963	1315.79164206982	402.543570041656	298.282492160797
chr1:1549717-1550168	5104.76885128021	3007.94197225571	2911.23485183716	3316.90520572662
chr1:1550434-1551542	15538.256847024	11726.7196680903	14440.8327445984	8320.10702753067
chr1:1590259-1590938	2002.16305851936	2490.44741106033	2479.85446453094	994.276487827301
chr1:1617703-1618023	1687.74604034424	894.590827286243	964.260077476501	978.369037628174
chr1:1624386-1624693	700.015205860138	588.798129558563	973.487431526184	469.298718929291
chr1:1648615-1649146	148.308002948761	367.539951205254	461.367988586426	668.153783798218
chr1:1655559-1656191	3040.3160572052	1359.8959416151	1384.10496711731	1391.98749065399
chr1:1672486-1672851	1179.05080199242	705.675638318062	692.052483558655	1093.70449781418
chr1:1679968-1680496	2657.68439745903	955.602839589119	922.735977172852	695.992982387543
chr1:1709161-1709830	2906.84346199036	3116.73377275467	4636.75228118896	2505.57766914368
chr1:1711710-1712219	5726.18256545067	2866.07335829735	2514.45756435394	3245.31800222397
chr1:1714112-1714649	4327.63542699814	4264.92704105377	3872.03344297409	3203.55843019485
chr1:1790563-1791174	5487.40807676315	2497.7992002964	4440.67497253418	4076.53149366379
chr1:1800681-1801435	2521.24156951904	1514.26470637321	3056.5651512146	2237.12290883064
chr1:1807882-1808324	1741.14196276665	1020.28942990303	2103.84003067017	1439.7121887207
chr1:1822331-1823385	7756.52474045753	4737.58399635553	5276.90297365189	4643.27570319176
chr1:1837576-1838128	3605.37810492516	4182.60085201263	3460.26298999786	2392.2281024456
chr1:1839969-1841069	9021.58912169933	6780.37099838257	8012.81371545792	7023.56758260727
chr1:1850533-1851322	10515.0602078438	7905.04531764984	7102.76888656616	7083.22775840759
chr1:1875528-1875846	615.479674220085	1070.27442145348	1755.50718307495	397.709989547729
chr1:1891251-1891818	3559.39955711365	2499.26844835281	1787.80195713043	3281.11444711685
chr1:1908932-1909601	2430.77438461781	1939.138433218	3140.76565790176	2187.40949630737
chr1:1920427-1921020	1770.80157256126	1867.10068225861	1723.21144008636	2127.75298595428
chr1:1927594-1928110	1112.31203079224	624.816951155663	1049.61317539215	695.993483066559
chr1:1934948-1935530	2051.1052120924	867.394171357155	1910.06497478485	298.282992839813
chr1:1976236-1976722	3244.98632836342	1251.1045794487	2399.11406517029	2117.80873417854
chr1:2004968-2005518	2154.91982293129	1609.08793330193	2619.41880559921	1926.90811944008
chr1:2019701-2020389	12235.4368031025	7195.68807965517	11105.1337795258	7556.50297403336
chr1:2047124-2047767	2817.85756349564	3658.48506885767	2415.26292228699	3678.8224697113
chr1:2063685-2065256	32090.9531741142	23106.4831570387	26228.8112792969	20899.6916937828
chr1:2071321-2071796	2826.75776743889	3876.8090763092	3218.04456233978	1944.80465459824
chr1:2082752-2083536	3273.16603052616	2015.58726620674	2943.53015422821	2087.98094987869
chr1:2105699-2106230	2722.94196987152	1427.52385127544	1723.21093940735	1391.98799133301
chr1:2111797-2112391	5187.81838130951	3410.76714038849	2416.41736745834	1835.43502616882
chr1:2120819-2121763	12991.8116903305	10018.3920681477	12288.547700882	12852.0186851025
chr1:2126263-2127018	7714.993527174	7787.42488718033	8825.97579669952	4462.31255483627
chr1:2130566-2131203	8775.40535163879	6591.45477604866	7225.03235721588	9560.95973706245
chr1:2135886-2137274	9957.42119288445	6907.53734958172	7052.01443338394	4603.50218892097
chr1:2143878-2144736	14431.8845626116	8162.31397390366	10220.4659743309	9974.58271980286
chr1:2144863-2145831	5766.2303712368	4966.92746412754	4528.33038425446	4762.58353447914
chr1:2158883-2159580	12899.8515195847	7950.60657417774	10360.0290555954	10077.9953107834
chr1:2162710-2164128	20287.0977153778	13065.3016805649	15397.0279521942	6798.86339354515
chr1:2165706-2166295	9447.2369915247	6589.98319745064	4705.96261501312	3957.222905159
chr1:2177475-2178265	7704.61990118027	5234.50007879734	6604.48790645599	4883.88738107681
chr1:2187178-2187779	3015.1087269783	2388.27208375931	1222.62567043304	853.088928937912
chr1:2207225-2207691	3336.93810105324	1886.9477238059	1508.67484855652	1741.97277021408
chr1:2210608-2211142	1791.56455111504	1724.49571549892	3081.94169235229	3338.78333711624
chr1:2221443-2222727	13178.6726346016	9522.94584727287	9995.55168247223	10785.9123697281
chr1:2231698-2232861	7712.03318238258	6693.63080716133	7077.39145374298	4993.25750184059
chr1:2242771-2243386	4348.39479422569	4363.42798519135	4470.66138839722	4168.01003885269
chr1:2245663-2246152	4173.39256501198	2319.90942811966	3148.84653568268	2091.95858621597
chr1:2253433-2254160	3950.93390440941	3620.99692797661	5035.83819961548	2903.28895568848
chr1:2262074-2262772	3485.24358868599	3097.62281167507	4528.33386516571	3014.64796638489
chr1:2304181-2304667	1038.15803527832	2230.23155415058	1426.78100538254	1465.56382679939
chr1:2313017-2313678	6395.05309152603	4306.09307098389	4309.17660808563	5484.43044471741
chr1:2322598-2323542	14775.9505405426	9564.10833001137	11103.9870872498	6353.42470049858
chr1:2337057-2337860	4529.33796143532	2159.66306018829	2599.81011772156	1101.65767240524
chr1:2343508-2344503	12435.6509270668	8807.71913194656	11413.1070208549	9841.3534386158
chr1:2383100-2384422	13792.6722407341	10263.1726298332	9624.14596939087	10638.7664318085
chr1:2390062-2390528	4517.47876930237	2022.20239835978	327.571271896362	652.245384216309
chr1:2391097-2391704	4449.24657344818	4597.18676006794	2479.85596656799	2692.50217247009
chr1:2425648-2426150	2604.2976038456	2142.75809144974	1218.01148986816	1000.24213767052
chr1:2454634-2455082	3654.31853723526	2681.56766605377	3516.78169250488	3778.24699878693
chr1:2457350-2458067	7249.30457472801	5742.44227361679	8777.53952598572	6564.21571111679
chr1:2458144-2458465	2153.43605327606	2378.71358633041	2237.63595104218	2119.79702091217
chr1:2466263-2467075	6917.10496044159	5504.27639198303	7310.38696098328	4325.10324120522
chr1:2477566-2478920	13236.5244460106	13128.5106748343	12728.0094766617	11285.0419044495
chr1:2487516-2488396	4244.58538627625	2305.20718836784	3501.78455924988	3489.91203784943
chr1:2517660-2518828	14752.2228266001	11788.4630286098	11732.6045618057	13056.8398485184
chr1:2573838-2575029	9097.23079156876	6570.86849176884	7008.18687534332	5128.47991156578
chr1:2986283-2986757	1769.3182489872	1488.53469192982	865.064978599548	795.421230792999
chr1:3087379-3087850	1705.5465400219	873.275044441223	2415.26196861267	497.138488292694
chr1:3223205-3223904	5549.69143199921	3887.0969492197	2922.76869487762	2080.0267739296
chr1:3229494-3230426	18034.2812976837	12605.8739205599	13275.883231163	15230.3336355686
chr1:3237138-3237863	3059.60313093662	3069.68894028664	2394.50086212158	4128.23726129532
chr1:3286287-3286840	3698.80850291252	2266.98415136337	2484.46914577484	298.282492160797
chr1:3309616-3310120	1512.7451467514	1392.97456890345	2318.37366580963	2167.52318382263
chr1:3388139-3388771	4873.40760731697	2693.32847166061	2633.25929689407	1988.55347633362
chr1:3389982-3390478	1997.71330583096	2072.18745195866	2106.1468706131	1547.09487533569
chr1:3420613-3421354	8717.55807447433	8009.41349089146	6290.76167964935	5675.33714342117
chr1:3459631-3460468	7453.98568439484	6386.36585617065	6800.57025527954	6013.38477516174
chr1:3464767-3465236	4137.80046820641	1987.65417766571	4429.13683891296	2652.73217487335
chr1:3503850-3504413	2374.41614592075	930.610156953335	2670.16923666	2418.08176541328
chr1:3535450-3535972	3213.8436948061	2455.89925265312	3140.76661157608	1789.69849348068
chr1:3540691-3541715	12836.0836714506	8729.0566393733	9273.50827693939	8590.55253982544
chr1:3566389-3567004	5647.57776880264	2630.11266195774	2888.16568279266	2684.54749584198
chr1:3582702-3583322	1413.37866127491	1655.39837825298	1950.43367242813	342.030591011047
chr1:3588312-3588809	3347.3136895895	2365.48681128025	1567.49874258041	1391.98747873306
chr1:3612094-3612451	1858.30579590797	1219.49616640806	983.867736339569	1320.39926195145
chr1:3663430-3664191	4659.85224223137	3063.80971670151	3439.50143051147	2867.49427747726
chr1:3691593-3692546	6042.07761693001	4038.52393913269	7840.95968341827	7198.5635766983
chr1:3712583-3713418	7278.96866083145	5405.7671444416	5289.58959197998	6037.25238895416
chr1:3727702-3728361	3870.8463871479	3776.83611011505	3934.31957578659	2583.13142466545
chr1:3744592-3745135	2350.68584620953	1476.03914546967	685.131463050842	701.958722352982
chr1:3773066-3774320	10151.7100769281	8192.45532304049	10680.6806659698	6601.998462677
chr1:3816670-3818195	24665.1477679014	18156.4454571605	19522.8003611565	15534.5722670555
chr1:3841424-3841930	1938.39112985134	1232.72813755274	899.66757774353	1246.82284379005
chr1:4016447-4017077	2539.0377869606	2030.28753197193	230.683994293213	198.854994773865
chr1:4663459-4663999	1818.26204323769	1322.40714854002	335.645211696625	397.710490226746
chr1:4712588-4713192	1483.08252692223	1759.77996432781	279.127633094788	894.847977161407
chr1:5671697-5672328	2580.56584239006	1536.3156028986	618.233104705811	1049.95538568497
chr1:5916380-5916924	1905.76232910156	1756.83956980705	1452.15574407578	596.564984321594
chr1:5951698-5952259	2224.62755441666	1894.29951858521	1621.70948123932	1391.98698997498
chr1:5976029-5976353	1784.14851236343	1325.34714567661	583.630505561829	1043.9902484417
chr1:5998334-5998944	4078.48011851311	2536.02197170258	4921.64356660843	2718.35533642769
chr1:6035179-6035653	1890.93205034733	1320.93721097708	915.815457344055	1093.70448589325
chr1:6043142-6043940	9252.95711910725	7425.76681256294	10490.3644342422	5383.01281881332
chr1:6052070-6053003	12742.6492400169	8163.06142687798	10934.4335126877	7970.1199529171
chr1:6085300-6085794	3523.80260801315	2256.69208037853	2056.54985952377	1085.74929475784
chr1:6085903-6086665	5945.67879116535	3791.53602731228	5199.62526607513	3609.22422289848
chr1:6088064-6088575	3169.35102927685	2111.88471215963	1758.96745920181	1690.26999473572
chr1:6094123-6094765	2310.64334225655	2490.44743311405	2651.71401643753	1421.81573987007
chr1:6097260-6097781	2122.29052627087	2771.98284316063	1675.92124509811	1590.84297418594
chr1:6168830-6169395	1913.17821264267	2863.86670464277	1339.1205868721	1093.70449781418
chr1:6175873-6176836	7581.52156162262	3737.14204514027	8055.49032592773	5993.50061702728
chr1:6187713-6188213	2024.40878772736	1250.36841803789	1312.59292888641	1121.54381465912
chr1:6201556-6202003	2073.3519012928	1474.56841027737	805.087140083313	397.710490226746
chr1:6217430-6218188	3004.72450780869	1982.50963419676	2158.04976797104	837.180541276932
chr1:6231685-6232038	1100.44777107239	1002.64705979824	777.405060768127	298.282492160797
chr1:6253377-6253868	842.390964746475	1065.86446762085	1243.38823127747	994.277477264404
chr1:6259324-6260066	7924.11899697781	6227.59330940247	8673.72428894043	7411.33639597893
chr1:6265085-6265649	4489.29408979416	2741.10950607061	2840.87443876266	1751.91569209099
chr1:6265997-6266443	2582.04882764816	1962.66065216064	2147.67049026489	2195.3636841774
chr1:6269128-6269690	2837.13712108135	1930.31801259518	1810.87085723877	2789.94104361534
chr1:6295682-6296369	4597.55859971046	3505.59135383368	2416.41634225845	2064.1190533638
chr1:6305219-6305631	4127.4186797142	2726.40993094444	2485.62291002274	3263.21670365334
chr1:6306787-6307191	1948.77269005775	2099.38547468185	2543.29208612442	2016.39120864868
chr1:6319957-6320433	3408.12268948555	2459.57424783707	4034.66215419769	1722.08760118484
chr1:6321198-6321598	2897.94586825371	1809.76394319534	2095.7661447525	2394.21919965744
chr1:6327679-6328227	3590.53995192051	1599.53188729286	1614.78896141052	550.828836202621
chr1:6333378-6333805	2685.8587269783	1809.02973747253	2171.89087915421	1457.60918831825
chr1:6336313-6337042	7424.31756162643	4194.36082613468	5174.24799156189	6590.06900691986
chr1:6361485-6361979	2341.78686535358	1282.71294564009	1475.22564554214	1481.47223830223
chr1:6377368-6377755	1483.08506011963	1273.8921110034	1402.55968666077	1889.12649154663
chr1:6390444-6390894	1187.9501196146	1140.10748142004	1039.23189496994	996.264525175095
chr1:6403435-6404050	6424.71429204941	3257.86850881577	3478.71716117859	3479.96895313263
chr1:6418811-6419328	2743.70355606079	2534.55175948143	3321.85046672821	2398.19607114792
chr1:6419606-6420018	1947.28909742832	1459.86638402939	1948.12783384323	1093.70398521423
chr1:6427669-6428295	3707.70505666733	2546.31505572796	1190.32941055298	1654.4746055603
chr1:6445623-6446296	2625.05812692642	2287.56644439697	1610.17628288269	1403.91858196259
chr1:6452554-6454255	11054.8965783119	10618.9524967074	12109.7714676857	9260.6918194294
chr1:6474210-6474875	3559.40237641335	2995.44748514891	4873.20120334625	4772.52743244171
chr1:6546405-6546933	3670.62900531292	2588.21311920881	2958.52558517456	2742.21444296837
chr1:6550006-6550977	9859.53030514717	5213.91879189014	5419.92602491379	5412.84158849716
chr1:6551488-6552089	6644.21537816525	4286.98001337051	2659.78895759583	1789.69796895981
chr1:6557144-6557868	3108.54283332825	2420.61534279585	1412.93946504593	2087.98069953918
chr1:6575699-6576385	7332.35748362541	4404.59485042095	3024.27021694183	1193.13198328018
chr1:6579984-6580556	4765.14286994934	2971.92286229134	3591.75237846375	2290.81430149078
chr1:6598890-6599495	3767.02622890472	2925.61835229397	4320.71781730652	4563.72819781303
chr1:6604838-6605455	5210.06757032871	2824.90685981512	1462.53702449799	1716.12164473534
chr1:6614181-6614858	4164.49326467514	3119.67036628723	3204.20473384857	4255.50663709641
chr1:6639673-6640382	9097.22955799103	6821.53183698654	8387.67648792267	6140.65360546112
chr1:6660932-6661734	11658.5169186592	8812.86011505127	8546.85644340515	7729.50708842278
chr1:6662457-6663927	15814.1201062202	14076.030580759	16980.6666889191	12410.5629541874
chr1:6664247-6664662	5324.26888346672	3224.05789232254	3467.18207168579	2839.65645074844
chr1:6672848-6674046	13585.0444309711	10707.8963270187	13796.0686349869	12750.599550724
chr1:6684650-6685753	9812.0729187727	8204.9483628273	7736.00193452835	4802.35875844955
chr1:6696094-6696966	4237.17070090771	3052.78265106678	3229.57897186279	2883.40300321579
chr1:6746331-6746782	2375.89921402931	1553.95705068111	945.804376602173	560.771085262299
chr1:6748238-6748541	1184.98399853706	560.130411505699	335.645211696625	497.138488292694
chr1:6761193-6762230	7038.71189522743	6104.09744048119	6971.27834224701	4692.98622369766
chr1:6784516-6785396	6445.48384451866	5900.47703367472	8722.17109870911	7158.79644155502
chr1:6803697-6804351	3639.48589658737	2980.01176512241	2710.53893566132	5194.09860801697
chr1:6813506-6814172	3461.51902627945	2309.61770701408	858.144458770752	1491.41497612
chr1:6830660-6831278	2669.54956650734	1359.89649295807	1531.74322414398	1193.13247203827
chr1:6844358-6845678	29680.9377892017	20425.6347302198	22632.430855751	22045.0984940529
chr1:6860688-6861228	2782.26329612732	2217.73377990723	2253.78467464447	1093.70498657227
chr1:6862039-6862598	3408.12593054771	3428.40992975235	1280.29616832733	2386.26449108124
chr1:6867678-6868219	3792.24585938454	2255.95799690485	1730.13250827789	795.420479774475
chr1:6879613-6880109	1779.70155477524	1082.77127176523	1438.31570577621	1988.55397701263
chr1:6919445-6920662	5947.16510558128	4472.22000956535	6237.70389080048	6033.26923799515
chr1:6930313-6931064	3455.58551883698	2675.68959605694	4126.94359493256	2760.11238193512
chr1:6948210-6948753	2123.77252078056	918.848940730095	1662.07970476151	1000.24162507057
chr1:6987591-6988080	296.616506576538	1073.21569085121	2099.22689914703	3082.25898742676
chr1:7051157-7051781	4200.09160089493	2605.12143218517	2847.7974858284	2298.76708984375
chr1:7129974-7130698	3445.20270204544	2189.066167593	1667.84577941895	2577.16573095322
chr1:7177529-7178465	11748.9834778309	9531.0408911705	10070.5230031013	8355.89967870712
chr1:7267833-7268404	1954.70698308945	1158.48450303078	2389.88870811462	1734.01760482788
chr1:7280077-7280451	1484.56612551212	1467.21743249893	1470.61146497726	644.290183067322
chr1:7283554-7284304	5187.82592940331	2906.50220012665	2249.17097091675	1690.26995897293
chr1:7289729-7290233	3072.94934916496	2371.36447703838	2595.19698619843	1523.23210573196
chr1:7310202-7310660	1926.52846848965	1999.41553294659	875.446259021759	397.709989547729
chr1:7313044-7313580	2235.00510919094	2002.35589170456	2581.35394382477	1209.0410118103
chr1:7315561-7316124	4048.81536006927	3103.50374650955	1499.44748878479	894.848489761353
chr1:7325638-7326275	10566.9688344002	6395.1922506094	7641.41271114349	7705.64581751823
chr1:7327485-7328196	11523.5527150631	7818.30036306381	8140.84837055206	5898.04829692841
chr1:7341874-7342378	5232.31780600548	3418.11786293983	1647.08474445343	3336.79289197922
chr1:7358828-7360484	22778.6654229164	16353.3064488173	13932.1684579849	15413.2681474686
chr1:7360891-7361419	6478.10467863083	4716.263671875	3389.90537309647	3102.14342594147
chr1:7395228-7395826	4042.88569116592	3569.54464662075	2170.73814868927	3378.55489659309
chr1:7439491-7440064	3209.39423179626	1534.84603631496	2103.84055519104	1093.70398521423
chr1:7448790-7449506	2381.83156394958	2067.04191577435	1230.69961023331	817.29555439949
chr1:7461714-7462438	8601.88565850258	7526.47746294737	8620.67653083801	9173.19553494453
chr1:7479483-7479839	964.003527164459	944.576284527779	1198.40385103226	674.118932962418
chr1:7530908-7532168	22109.80915308	16109.9886469841	15295.5246052742	13820.4404592514
chr1:7538826-7539395	6785.10698378086	4370.04299193621	4238.82299661636	3181.6859960556
chr1:7551420-7552155	1779.70004677773	1701.70778226852	3976.99408817291	3678.8254737854
chr1:7586471-7587670	6673.87115359306	6446.64173305035	2549.05813694	2923.17497968674
chr1:7598059-7598573	2509.37238740921	2142.75698274374	1960.81647872925	863.032099246979
chr1:7601697-7602194	1853.8560628891	1803.88367271423	3056.5634727478	2286.83800697327
chr1:7609324-7609816	2076.31804943085	1678.9204672575	1895.07003831863	2074.06113600731
chr1:7621441-7621746	1456.38894629478	748.311443805695	352.946511268616	119.312996864319
chr1:7709007-7709356	1426.72655320168	1281.97652244568	770.484540939331	684.062183380127
chr1:7727556-7728081	2079.28348040581	2005.29518353939	1246.84799051285	1481.47272706032
chr1:7728508-7729033	1744.10613799095	1746.54843533039	2263.01100921631	383.790139913559
chr1:7740253-7740659	2146.02130401134	2036.90358138084	1976.9638338089	546.85232925415
chr1:7764465-7765012	3167.86342525482	2508.09240925312	3460.26601791382	1988.5529756546
chr1:7812521-7813252	2447.08807468414	2212.58817076683	2055.39589118958	1988.55447769165
chr1:7820277-7820837	2353.65402090549	1046.75270938873	2003.49256467819	1590.84346294403
chr1:7830930-7831929	5721.7352707386	4342.84571385384	6031.24216222763	4673.09793233871
chr1:7837589-7838195	808.27961742878	294.031697511673	2647.10038423538	2310.69857978821
chr1:7843596-7844548	13392.2422242165	9235.53508782387	10701.4468054771	8968.37249755859
chr1:7870332-7870895	5359.85870099068	3776.83286654949	4635.59550905228	5369.09400224686
chr1:7948478-7949075	1773.76821327209	2125.84785413742	1379.49028587341	542.874135732651
chr1:7957103-7957480	2340.30680727959	1321.67178344727	632.074144363403	596.565985679626
chr1:7959696-7960216	1408.92952680588	2021.4674949646	807.393980026245	1292.55999326706
chr1:7980508-7981079	3167.86386179924	2216.9987282753	1212.24489068985	1391.98796749115
chr1:8002223-8002630	1165.70319223404	1242.28310227394	1326.4337682724	1765.83617067337
chr1:8008866-8009455	4300.93704462051	2429.43932980299	3541.0063457489	1988.5509967804
chr1:8021194-8022139	16831.5083496571	10868.140121758	12345.0662331581	9857.26475262642
chr1:8035197-8035741	2298.7815618515	2569.09943550825	2369.12612342834	2783.97244215012
chr1:8039318-8039770	740.058276414871	1396.64949178696	730.114841938019	3485.9336373806
chr1:8042306-8042709	2076.31906867027	1286.38846874237	1094.5955529213	984.333249330521
chr1:8054015-8054588	3500.07522630692	2480.15870726109	3388.74954509735	3977.10943222046
chr1:8064709-8065693	16822.6065171957	11036.4770787954	13032.5004844666	11175.6757450104
chr1:8071998-8072316	987.732807636261	673.331765174866	1640.16420078278	2251.04023885727
chr1:8075038-8075642	5416.22035098076	3713.62212848663	2567.51435852051	2485.69247722626
chr1:8086020-8087942	15424.0646033287	14207.60764575	13353.1622023582	11877.629127264
chr1:8088049-8088394	2722.94144058228	2427.2265818119	1850.08770465851	1093.70448589325
chr1:8100518-8101205	3262.78260350227	3523.22922450304	4086.57053518295	4484.18919205666
chr1:8106027-8106479	2935.02237594128	1234.19766968489	2407.19053220749	654.233934164047
chr1:8107163-8108455	7857.37911057472	7817.56210923195	5201.92810058594	5440.68219518661
chr1:8119273-8119695	3124.85590469837	2015.58606719971	3057.71891927719	1348.2398686409
chr1:8121226-8121843	5281.2554012537	5119.82628798485	5710.58931350708	3366.62211871147
chr1:8121967-8122481	1557.23854899406	2071.45292329788	3250.34050750732	3181.68444633484
chr1:8137124-8137766	7041.67522859573	4791.2474052906	4278.04378175735	6810.79089951515
chr1:8138150-8138813	5641.65248775482	3615.85100501776	3943.54744625092	5072.79954743385
chr1:8143021-8143723	4665.7819955349	4517.06137931347	3094.6272854805	4971.38547897339
chr1:8143770-8144587	4883.79689407349	4671.42589819431	3949.3129863739	3814.04734706879
chr1:8150108-8150928	10222.8861106634	7219.20746618509	7266.55249595642	5554.02911162376
chr1:8154724-8155499	6056.91140294075	5220.53048849106	5170.78412437439	6013.38613009453
chr1:8156627-8157038	4627.22190570831	2424.28777265549	2696.69946956635	2509.55310964584
chr1:8157394-8158020	10165.0517077446	6034.26210343838	5448.76254940033	5184.1548397541
chr1:8167107-8167626	1168.66952443123	804.176928162575	2322.99037361145	2374.33167743683
chr1:8176888-8177712	2316.57554197311	2967.51227986813	8779.83799648285	5892.08553528786
chr1:8181193-8181887	5867.07056069374	4467.07393044233	3982.76974725723	4804.34182024002
chr1:8182055-8182838	4395.85354089737	2884.44942760468	3649.42379379272	3233.38763809204
chr1:8193624-8194551	6868.15894627571	4357.54563879967	5402.62617969513	3977.10599899292
chr1:8197656-8198361	5512.61205470562	4141.43668496609	4556.01346492767	6993.74284100533
chr1:8214544-8215176	4053.26322209835	3312.99779731035	3822.44131946564	1789.69846963882
chr1:8229409-8230257	4914.93736100197	4128.93929821253	3253.80024290085	4541.85658359528
chr1:8242305-8242924	2651.75458025932	1306.97068333626	3367.98634052277	2585.12146472931
chr1:8249864-8250180	296.616506576538	519.701423823833	392.162790298462	1419.82735538483
chr1:8257664-8258354	6309.0354809761	5474.13178658485	6557.20468950272	5874.18766784668
chr1:8262083-8262916	5763.26319384575	5354.31416118145	7344.99199199677	4935.58723402023
chr1:8271763-8272548	8812.48586082458	6937.67043304443	7515.69622039795	9135.41757249832
chr1:8277027-8277648	4286.11152505875	2860.92732143402	4163.84788703918	2430.01211309433
chr1:8278683-8279009	1057.43824887276	1179.06623053551	1252.61509037018	1445.67833924294
chr1:8284847-8285359	2911.29463922977	1917.82052880526	2201.88130044937	596.565997600555
chr1:8289992-8290403	1640.29205608368	1029.1099011898	1733.59224367142	1596.8091366291
chr1:8298077-8298794	9417.58165359497	6431.94388699532	5797.09640598297	4959.45065069199
chr1:8319006-8319989	4137.8027510643	3803.30070799589	6025.47105693817	4641.28314781189
chr1:8343223-8343700	2150.47003626823	1605.41271352768	980.407476425171	1391.98698997498
chr1:8344045-8344704	2194.96408247948	1625.99445295334	1506.36800861359	2497.62180995941
